"DATE"	"AFYON"	"AKBNK"	"AKSA"	"AKSEN"	"ALGYO"	"ALARK"	"ALBRK"	"AEFES"	"ANELE"	"ARCLK"	"ASELS"	"BERA"	"BJKAS"	"BIMAS"	"CLEBI"	"CEMAS"	"CEMTS"	"CCOLA"	"DEVA"	"DOHOL"	"ECILC"	"ECZYT"	"EGEEN"	"EKGYO"	"ENJSA"	"ENKAI"	"EREGL"	"FENER"	"FLAP"	"FROTO"	"GARAN"	"GENTS"	"GEREL"	"GLYHO"	"GOLTS"	"GOODY"	"GOZDE"	"GSRAY"	"GSDHO"	"GUBRF"	"SAHOL"	"HEKTS"	"HURGZ"	"ICBCT"	"IHLGM"	"IHLAS"	"INDES"	"IPEKE"	"ISGYO"	"ISDMR"	"ITTFH"	"KRDMD"	"KARSN"	"KARTN"	"DGKLB"	"KERVT"	"KCHOL"	"KORDS"	"KOZAL"	"KOZAA"	"MAVI"	"METRO"	"MGROS"	"MPARK"	"NTHOL"	"NETAS"	"ODAS"	"OTKAR"	"PRKME"	"PARSN"	"PGSUS"	"PETKM"	"POLHO"	"SASA"	"SKBNK"	"SISE"	"SOKM"	"TATGD"	"TAVHL"	"TKFEN"	"THYAO"	"TOASO"	"TSKB"	"TMSN"	"TUPRS"	"TTKOM"	"TTRAK"	"TCELL"	"HALKB"	"ISCTR"	"ULKER"	"VAKBN"	"VERUS"	"VESTL"	"YKBNK"	"YATAS"	"ZOREN"
1575331200000	1.97	7.64	6.34	3.78	14.7	5.28	1.2	20.36	3.02	20.4	9.33	3.67	3.11	44.58	97.99	1	7.76	34.73	8.55	1.8	3.43	9.19	464.2	1.47	6.54	5	7.85	16.21	3.87	58.84	9.9	1.79	2.92	4.39	16.1	3.3	4.08	2.18	1.1	6.77	8.66	7.32	1.61	5	0.86	0.8	10.01	6.76	1.15	7.16	1.28	2.39	1.43	341.25	1.48	2.89	19.85	12.23	76.45	9.61	45.1	1.52	22.22	15.28	2.19	13.05	1.14	135.67	3.04	14.75	73.75	2.98	2.77	6.42	0.98	4.92	9.98	5.77	25.64	17.48	13.89	21.17	1.06	5.58	120.2	6.81	46.13	13.02	5.78	6.06	21.5	5.09	17.59	11.49	2.4	6.45	1.41
1575417600000	1.96	7.71	6.38	3.82	14.79	5.33	1.21	19.91	3.07	20.22	9.39	3.68	3.1	44.52	108.01	1.01	7.72	34.16	8.59	1.86	3.41	9.2	468.76	1.48	6.51	5.02	7.96	15.77	4.13	58.93	10.2	1.84	3.1	4.48	16.65	3.44	4.05	2.25	1.19	7.02	8.71	7.41	1.58	5.07	0.87	0.75	10.09	6.73	1.17	7.23	1.34	2.43	1.44	349.18	1.6	3.03	19.59	12.23	76.9	9.68	45.14	1.56	22.56	14.92	2.22	13.14	1.21	136.04	3.05	14.9	74.15	3	2.81	6.82	1.02	4.93	9.98	5.74	25.79	17.6	13.61	21.2	1.09	5.71	120.5	6.77	47.08	13.18	5.8	6.17	21.46	5.2	17.72	11.73	2.4	6.47	1.47
1575504000000	2.04	7.76	6.36	3.84	15.15	5.44	1.24	19.86	3.08	20.42	9.76	3.7	3.01	44.46	109.18	1.09	7.75	33.79	8.54	1.86	3.41	9.4	479.22	1.47	6.83	5.05	7.89	15.77	4.27	61.22	10.32	1.94	3.05	4.66	16.66	3.53	4.16	2.2	1.2	6.95	8.76	7.35	1.61	5.12	0.86	0.77	10.16	6.77	1.22	7.29	1.4	2.42	1.45	350.77	1.69	3.07	19.64	12.2	75.9	9.86	46.14	1.59	23.04	14.84	2.21	14.08	1.27	137.42	3.05	15.14	73.85	3.02	2.84	6.84	1.02	4.94	9.99	5.85	25.32	17.43	13.76	21.84	1.15	5.66	120.7	6.97	47.9	13.5	5.93	6.25	21.9	5.24	17.84	11.8	2.45	6.88	1.48
1575590400000	2.05	7.77	6.56	3.81	15.27	5.41	1.29	20.08	3.11	20.12	9.6	3.71	3.01	44.32	110.44	1.15	7.81	34.73	8.68	1.89	3.59	9.48	498.99	1.47	7.06	5.16	7.95	15.69	4.13	60.42	10.36	1.9	3.06	4.68	16.76	3.45	4.2	2.2	1.23	7.13	8.91	7.32	1.59	5.04	0.85	0.76	10.15	6.91	1.24	7.3	1.37	2.41	1.47	355.82	1.67	3.04	19.83	12.49	76.35	9.77	48	1.5	23.2	14.8	2.32	13.12	1.28	136.87	3.03	15	72.7	2.99	2.76	7.12	1	5.01	10	6.05	25.56	17.06	13.77	21.6	1.16	5.61	122	7.08	49.66	13.52	5.87	6.2	21.72	5.1	17.99	12.15	2.47	6.47	1.47
1575849600000	2.09	7.67	6.7	3.89	15.23	5.34	1.31	20.08	3.13	19.88	9.69	3.72	2.99	44.22	112.97	1.32	7.81	34.87	8.65	1.91	3.49	9.58	505.87	1.5	6.92	5.28	8.1	15.85	4.16	60.1	10.32	1.92	3.14	4.68	17.6	3.5	4.45	2.25	1.26	7.47	9	7.35	1.59	4.93	0.89	0.75	9.82	6.77	1.32	7.4	1.37	2.41	1.48	363.65	1.72	2.92	19.65	12.47	74.75	9.61	48.04	1.4	23.3	14.48	2.34	13	1.41	136.87	3.11	15.33	74.85	2.98	2.8	7.36	1	4.99	9.91	6.23	25.47	17.1	13.72	21.6	1.14	5.87	122.6	7	49.66	13.22	5.8	6.13	21.36	5.12	18.15	12.26	2.46	6.54	1.56
1575936000000	2.5	7.7	6.54	3.84	15.02	5.26	1.29	20.1	3.07	19.2	9.59	3.76	2.82	43.61	113.17	1.21	7.8	34.79	8.47	1.97	3.51	9.47	505.39	1.5	6.93	5.21	8.12	15.4	4.2	59.35	10.34	1.88	3.05	4.53	17.02	3.44	4.65	2.24	1.27	7.55	8.87	7.27	1.28	4.79	0.88	0.81	9.62	6.61	1.37	7.47	1.28	2.38	1.49	354.73	1.7	2.94	19.33	12.23	74.3	9.59	49.9	1.29	22.74	14.01	2.3	12.58	1.43	133.54	3.1	15.13	74.95	2.97	2.75	7.26	1	4.96	9.54	6.05	25.32	16.91	13.8	21.76	1.14	5.72	122.1	7.03	49.66	13.05	5.71	6.09	21.48	5.08	18.26	12.15	2.42	6.52	1.59
1576022400000	2.39	7.65	6.51	3.86	14.66	5.37	1.28	19.71	3.05	19.35	9.49	3.7	2.7	43.75	113.36	1.24	7.82	33.48	8.45	1.92	3.46	9.5	501.12	1.47	7.12	5.29	8.08	15.26	4.14	59.82	10.33	1.93	3.05	4.61	17.19	3.55	4.68	2.19	1.26	7.51	8.89	7.33	1.21	4.73	0.87	0.8	9.57	6.54	1.38	7.52	1.33	2.36	1.54	355.62	1.7	3.1	19.55	12.21	73.75	9.6	49.8	1.33	22.82	14.28	2.28	12.55	1.47	135.11	3.06	15.06	78.3	2.99	2.71	7.36	0.98	4.87	9.36	5.91	25.36	16.78	13.71	21.45	1.14	5.81	120.7	6.87	49.09	13.16	5.69	6.05	21.2	5.04	18.39	12.96	2.4	6.34	1.57
1576108800000	2.3	7.87	6.65	3.99	15.36	5.44	1.3	19.88	3.09	19.75	9.68	3.66	2.9	44.76	113.36	1.23	8.09	33.73	8.63	1.86	3.53	9.53	505.87	1.5	7.15	5.32	8.42	14.79	4.19	61.22	10.58	1.95	3.11	5.02	17.75	3.58	4.83	2.26	1.26	7.66	9.12	7.37	1.08	4.86	0.88	0.79	9.63	6.58	1.34	7.68	1.33	2.45	1.52	365.63	1.72	3.08	19.95	12.22	76	9.67	49	1.32	23.34	14.7	2.3	14.28	1.43	135.11	3.08	15.15	81.7	3.03	2.82	7.5	1.02	4.86	9.25	5.95	25.81	17.14	13.59	21.79	1.17	5.85	121.5	7	49.57	13.24	5.8	6.2	21.72	5.15	16.58	12.75	2.45	6.23	1.6
1576195200000	2.35	8.02	6.7	3.93	14.82	5.42	1.28	20.19	3.08	20.18	9.69	3.6	2.9	44.57	109.57	1.23	7.89	34.53	8.55	1.84	3.54	9.58	503.26	1.5	6.99	5.28	8.44	15.13	4.18	62.89	10.98	1.91	3.12	4.8	17.53	3.52	4.66	2.39	1.23	7.77	9.06	7.35	1.14	4.89	0.87	0.79	9.42	6.83	1.36	7.56	1.35	2.49	1.5	376.53	1.71	3.01	20.13	12.33	75.65	9.44	48.34	1.31	24.34	14.85	2.27	13.59	1.4	134	3.05	15.03	81.05	3.01	2.99	7.4	1.02	5.01	9.59	5.99	25.38	16.95	14.06	21.72	1.15	5.82	121.1	7.03	48.76	13.41	5.76	6.25	21.7	5.18	17.03	12.8	2.43	6.45	1.55
1576454400000	2.32	8.17	6.75	3.97	14.65	5.52	1.35	20.32	3.16	19.97	9.68	3.55	2.87	44.49	111.12	1.25	7.87	35.32	8.5	1.82	3.64	9.66	523.32	1.5	6.93	5.24	8.42	15.23	4.28	63.92	10.92	1.92	3.23	4.78	17.82	3.54	4.84	2.45	1.24	7.58	9.28	7.3	1.17	4.98	0.86	0.76	9.24	6.67	1.34	7.47	1.32	2.53	1.52	384.75	1.7	3.03	19.85	12.45	73.75	9.35	49.7	1.32	24.2	15.04	2.27	13.71	1.48	134.56	3.04	15.42	79.6	3.02	3.06	7.55	1.03	4.86	9.62	6.02	25.53	17.5	13.82	22.12	1.15	5.8	121.6	7.16	48.57	13.49	5.74	6.22	22.22	5.15	16.96	13.05	2.45	6.42	1.58
1576540800000	2.35	8.22	6.83	3.81	14.69	5.44	1.34	20.45	3.17	19.91	9.64	3.58	2.77	44.68	113.46	1.36	7.76	35.41	8.39	1.82	3.66	9.5	536.88	1.5	7.06	5.47	8.43	14.93	4.94	62.24	10.88	1.89	3.16	4.79	17.58	3.51	4.92	2.31	1.3	7.59	9.17	7.25	1.14	4.92	0.87	0.76	9.25	6.74	1.3	7.43	1.32	2.5	1.53	374.55	1.74	3.13	19.5	12.28	73.7	9.43	49.18	1.32	24.38	15.5	2.28	13.2	1.45	134	3.01	15.71	82.7	3.03	3	7.45	1.02	4.95	10	5.94	25.9	17.37	14.01	22.52	1.12	5.83	124.2	7.1	48.57	13.44	5.68	6.15	21.7	5.12	16.99	13.12	2.42	6.38	1.58
1576627200000	2.33	8.14	6.8	3.66	14.33	5.4	1.31	20.74	3.02	19.6	9.56	3.56	2.79	45.34	111.41	1.32	7.76	34.96	8.05	1.79	3.57	9.41	546.58	1.45	6.96	5.42	8.33	15.05	4.94	61.96	10.76	1.91	3.13	4.74	17.18	3.54	4.78	2.34	1.28	7.89	9.1	7.29	1.14	4.85	0.88	0.73	9.04	6.71	1.28	7.46	1.31	2.49	1.52	376.53	1.77	3.13	19.65	12.02	74.65	9.27	49.86	1.31	24.06	16	2.24	13.15	1.56	134.19	2.96	15.48	82.2	3	3.01	7.58	1	4.98	9.96	5.85	26.75	17.01	13.91	23.04	1.1	5.77	122.8	6.99	47.85	13.39	5.69	6.17	21.64	5.09	17	12.94	2.41	6.45	1.57
1576713600000	2.25	8.08	6.79	3.66	14.7	5.45	1.37	20.74	3.03	19.32	9.55	3.61	2.8	45.12	110.73	1.29	7.76	35.37	8.13	1.75	3.51	9.44	538.05	1.42	7.07	5.37	8.33	16.1	5.07	62.43	10.75	1.94	3.15	4.7	16.82	3.6	4.85	2.42	1.27	8	8.93	7.42	1.05	4.81	0.88	0.73	8.79	6.6	1.3	7.49	1.33	2.56	1.52	376.53	1.78	3.16	19.47	12.09	73.7	9.44	52.05	1.34	24	15.97	2.27	13.09	1.5	137.89	2.92	15.54	81.8	3	3.01	7.53	0.99	4.97	10.03	5.82	26.59	17.02	13.74	23.11	1.1	6.12	122.7	7.01	48.37	13.54	5.68	6.13	21.56	5.09	17.08	13.35	2.39	6.48	1.62
1576800000000	2.26	8.13	6.79	3.76	14.7	5.59	1.35	20.96	3.03	19.74	9.53	3.56	2.73	45.26	109.47	1.25	7.82	35.36	8.28	1.75	3.6	9.55	543.76	1.42	7.01	5.36	8.54	15.94	4.4	62.61	10.84	1.94	3.11	4.64	16.9	3.94	4.86	2.35	1.24	8.03	8.88	7.77	1.11	4.93	0.97	0.75	9.04	7	1.34	7.48	1.44	2.55	1.6	371.48	1.73	3.19	19.4	12.05	74.7	10.13	53.85	1.33	23.72	15.92	2.29	12.91	1.45	142.05	2.96	15.54	82.8	3.02	3.01	7.52	0.99	5.02	10.35	5.85	27.15	17.09	13.76	23.15	1.09	6.26	124.4	7	48.33	13.31	5.69	6.16	21.9	5.1	17.07	13.35	2.41	6.57	1.62
1577059200000	2.22	8.2	6.9	3.95	14.63	5.8	1.52	20.58	3.07	20.04	9.57	3.6	2.67	45.56	110.15	1.26	8.09	35.53	8.6	1.78	3.63	9.68	543.86	1.42	7.1	5.36	8.56	15.84	4.23	63.27	10.89	2.04	3.24	4.65	17.53	3.97	4.84	2.21	1.29	8.39	8.95	7.81	1.09	5.01	1.13	0.77	9.23	8.37	1.34	7.67	1.54	2.55	1.64	372.86	1.68	3.16	19.79	12.05	75.6	9.98	54.2	1.36	24	16.35	2.33	13.27	1.43	141.58	3.02	15.44	83.1	3.1	3.16	7.8	1.05	5.08	10.23	5.75	27.2	17.45	13.76	23.09	1.11	6.58	126	7.02	50.62	13.37	5.7	6.19	22.76	5.07	17.42	14.21	2.41	6.6	1.75
1577145600000	2.2	8.21	6.93	3.96	14.59	5.86	1.45	20.85	3.09	20.1	9.75	3.68	2.66	46.01	110.34	1.29	8.03	35.53	8.57	1.78	3.72	9.74	540.76	1.44	7.11	5.43	8.57	16.02	4.24	63.45	11	2.04	3.24	4.74	17.62	4.14	4.87	2.23	1.31	8.63	9.04	7.82	1.09	5.12	1.15	0.8	9.38	7.86	1.34	7.82	1.37	2.57	1.62	376.53	1.63	3.21	19.73	12.28	74.9	10.42	54.9	1.36	24.36	16.34	2.43	13.21	1.44	142.42	3.07	15.67	84.8	3.13	3.07	7.75	1.04	5.11	10.22	5.99	27.42	17.81	13.78	23.08	1.12	6.64	126.5	7.21	51.33	13.49	5.95	6.26	22.9	5.16	17.89	14.06	2.45	6.72	1.74
1577232000000	2.25	8.23	6.9	4.02	14.5	5.83	1.47	21.11	3.12	20.06	9.79	3.65	2.68	45.99	110.44	1.31	8.02	36.92	8.87	1.78	3.73	9.73	538.14	1.42	6.99	5.43	8.55	15.51	4.53	63.64	11	2.03	3.39	4.82	17.49	4.11	4.86	2.24	1.32	8.85	9.11	7.82	1.09	5.37	1.13	0.77	9.47	8.1	1.35	7.76	1.35	2.56	1.65	382.08	1.63	3.2	19.61	12.46	75.5	10.53	55.25	1.4	24.58	16.2	2.59	13.35	1.43	142.88	3.07	15.69	84.85	3.12	3.1	7.72	1.04	5.16	10.27	6.11	27.24	17.96	13.99	23.01	1.14	6.87	126.2	7.24	51.48	13.51	5.91	6.32	23.28	5.15	17.97	14.32	2.44	6.82	1.73
